COMMON NAME,SCIENTIFIC NAME,AOU CODE,PEI,ATL CAN,ME,MENEW,NH,MA,RI,RINEW,CT,CTNEW,NY,NJ,NJNEW,DE,DENEW,MD,MDNEW,VA,NC,NCNEW,SC,SCNEW,GA,GANEW,ATL FL,FLNEW,GULF FL,PA,PANEW,VT,WV,COMMENTS
Reddish Egret,Egretta rufescens,REEG,,,,,,,,,,,,,,,,,,,,,,X,,,,X,X,,,,,
Roseate Spoonbill,Platalea ajaja,ROSP,,,,,,,,,,,,,,,,,,,,,,X,X?,X,X,X,X,,,,,
Snowy Egret,Egretta thula,SNEG,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,rarely,,,
Tricolored Heron,Egretta tricolor,TRHE,,,X,"x (rare, as recent as 2013)",X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,
White Ibis,Eudocimus albus,WHIB,,,,,,,,,,,,,X,,,X?,X - 1st nesting 2020,X,X,X,X,X,X,X,X,X,X,,,,,
White-faced Ibis,Plegadis chihi,WFIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood Stork,Mycteria americana,WOST,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,
Yellow-crowned Night Heron,Nyctanassa violacea,YCNH,,,,,,X?,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red text indicated extirpation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue column headers reflect corrected lists as of 11/2022 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLNEW represents both coasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
